date,seaice_extent
2024-08-19,1171.9226769228019
2024-08-20,1171.9226769228019
2024-08-21,1171.9226769228019
2024-08-22,1171.9226769228019
2024-08-23,1171.9226769228019
2024-08-24,1171.9226769228019
2024-08-25,1171.9226769228019
2024-08-26,1171.9226769228019
2024-08-27,1171.9226769228019
2024-08-28,1171.9226769228019
2024-08-29,1171.9226769228019
2024-08-30,1171.9226769228019
2024-08-31,1171.9226769228019
2024-09-01,2372.4566116584947
2024-09-02,2372.4566116584947
2024-09-03,2372.4566116584947
2024-09-04,1171.9226769228019
2024-09-05,1171.9226769228019
2024-09-06,1171.9226769228019
2024-09-07,2372.4566116584947
2024-09-08,2372.4566116584947
2024-09-09,2372.4566116584947
2024-09-10,2372.4566116584947
2024-09-11,1171.9226769228019
2024-09-13,1171.9226769228019
2024-09-14,1171.9226769228019
2024-09-15,12578.117436312863
2024-09-16,12578.117436312863
2024-09-17,12578.117436312863
2024-09-18,12578.117436312863
2024-09-19,2372.4566116584947
2024-09-20,1171.9226769228019
2024-09-21,2372.4566116584947
2024-09-22,2372.4566116584947
2024-09-23,2372.4566116584947
2024-09-24,3580.2135674074534
2024-09-25,1171.9226769228019
2024-09-26,2372.4566116584947
